symbol,name,currency,market,exchange,exchange timezone
^FLHY-TC,,USD,us_market,ASE,EDT
^FLIA-EU,,USD,us_market,ASE,EDT
^FLIA-IV,,USD,us_market,ASE,EDT
^FLIA-NV,,USD,us_market,ASE,EDT
^FLIA-TC,,USD,us_market,ASE,EDT
^FLQL-EU,,USD,us_market,ASE,EDT
^FLQL-IV,,USD,us_market,ASE,EDT
^FLQL-NV,,USD,us_market,ASE,EDT
^FLQL-TC,,USD,us_market,ASE,EDT
^FLQM-EU,,USD,us_market,ASE,EDT
^FLQM-IV,,USD,us_market,ASE,EDT
^FLQM-NV,,USD,us_market,ASE,EDT
^FLQM-TC,,USD,us_market,ASE,EDT
^FLQS-EU,,USD,us_market,ASE,EDT
^FLQS-IV,,USD,us_market,ASE,EDT
^FLQS-NV,,USD,us_market,ASE,EDT
^FLQS-TC,,USD,us_market,ASE,EDT
^FMAG-EU,,USD,us_market,ASE,EDT
^FMAG-IV,,USD,us_market,ASE,EDT
^FMAG-NV,,USD,us_market,ASE,EDT
^FN10,FTSE NAREIT Equity Diversified,USD,gb_market,FGI,BST
^FN11,FTSE NAREIT Equity Health Care,USD,gb_market,FGI,BST
^FN12,FTSE NAREIT Equity Self Storage,USD,gb_market,FGI,BST
^FN17,FTSE NAREIT Equity Residential,USD,gb_market,FGI,BST
^FN20,FTSE NAREIT Equity Retail,USD,gb_market,FGI,BST
^FN24,FTSE NAREIT Equity Lodging/Reso,USD,gb_market,FGI,BST
^FNAR,FTSE NAREIT All REITs,USD,gb_market,FGI,BST
^FNCO,FTSE NAREIT Composite,USD,gb_market,FGI,BST
^FNER,FTSE Nareit All Equity REITs In,USD,gb_market,FGI,BST
^FNGO-IV,,USD,us_market,ASE,EDT
^FNGZ-IV,,USD,us_market,ASE,EDT
^FNMR,FTSE NAREIT Mortgage REITs,USD,gb_market,FGI,BST
^FNR5,FTSE NAREIT Real Estate 50,USD,gb_market,FGI,BST
^FOCT-IV,,USD,us_market,ASE,EDT
^FPRO-EU,,USD,us_market,ASE,EDT
^FPRO-IV,,USD,us_market,ASE,EDT
^FPRO-NV,,USD,us_market,ASE,EDT
^FSEC-EU,,USD,us_market,ASE,EDT
^FSEC-IV,,USD,us_market,ASE,EDT
^FSEC-NV,,USD,us_market,ASE,EDT
^FSEC-TC,,USD,us_market,ASE,EDT
^FSEP-IV,,USD,us_market,ASE,EDT
^FSMO-EU,,USD,us_market,ASE,EDT
^FSMO-IV,,USD,us_market,ASE,EDT
^FSMO-NV,,USD,us_market,ASE,EDT
